,image_time,DNflag,unet_prob,simple_numhot,unet_class,simple_radiance,hyst_numhot,hyst_radiance,background_bt,hotspot_mean_bt,hotspot_max_bt,bt_hotspot_minus_bg,hotspot_TIR_mean_bt,hotspot_TIR_max_bt,MIR_minus_TIR_bt,improved_radiance,hotspot_area_bg_corrected,solar_za,solar_aa,mirova_numhot,mirova_class,mirova_radiance,max_nti,max_eti,max_dnti,max_deti,max_dnti_z,max_deti_z
3028,2012-03-21 12:12:00,N,0.019150542,0.0,False,,0.0,,,,,,,,,,,125.00647485493204,-35.006474854932044,0.0,False,0.0,-0.96801114,0.0037707686,0.0035209134,0.0036676526,3.65129,3.7870553
6924,2012-03-21 13:54:00,N,0.0062583727,0.0,False,,0.0,,,,,,,,,,,117.29665294247003,-27.29665294247003,0.0,False,0.0,-0.9634435,0.0028592944,0.00298284,0.0022496805,3.607794,3.1361628
5013,2012-03-21 22:06:00,D,0.0009836076,0.0,False,,0.0,,,,,,,,,,,54.866500701978644,35.133499298021356,0.0,False,0.0,-0.7888473,0.050996423,0.032872193,0.0478215,3.4262853,5.692876
736,2012-03-21 23:42:00,D,0.0005377475,0.0,False,,0.0,,,,,,,,,,,52.88437980484095,37.11562019515905,0.0,False,0.0,-0.9098906,0.021017611,0.008167461,0.008098155,3.535512,3.3147128
1462,2012-03-22 11:54:00,N,7.314065e-05,0.0,False,,0.0,,,,,,,,,,,125.22834671993073,-35.228346719930734,0.0,False,0.0,-0.9773854,0.0029765368,0.0033202693,0.0031467006,3.208489,3.031013
4382,2012-03-22 23:24:00,D,4.5923513e-05,0.0,False,,0.0,,,,,,,,,,,52.298940385417055,37.701059614582945,0.0,False,0.0,-0.85724366,0.029475093,0.011635691,0.006615944,3.4659321,2.8345642
17985,2012-03-23 01:06:00,D,9.433835e-05,0.0,False,,0.0,,,,,,,,,,,56.72892594900646,33.27107405099354,0.0,False,0.0,-0.880091,0.024574697,0.0119583085,0.018850781,4.132566,4.106077
13680,2012-03-23 13:18:00,N,0.0009939743,0.0,False,,0.0,,,,,,,,,,,119.94945060477879,-29.949450604778793,0.0,False,0.0,-0.962275,0.0037555695,0.0056666955,0.0031137094,3.2546911,3.8064463
2408,2012-03-23 15:00:00,N,0.0017081023,0.0,False,,0.0,,,,,,,,,,,108.73038165714907,-18.73038165714907,0.0,False,0.0,-0.9693512,0.0024876595,0.004731156,0.002304241,4.2187133,2.959933
17204,2012-03-23 23:06:00,D,0.0009636651,0.0,False,,0.0,,,,,,,,,,,51.970210210853516,38.029789789146484,0.0,False,0.0,-0.88920844,0.043263793,0.026042193,0.02304098,4.115342,3.9136438
10439,2012-03-24 00:48:00,D,0.119530246,0.0,False,,0.0,,,,,,,,,,,55.03934546911499,34.96065453088501,0.0,False,0.0,-0.78975195,0.093548834,0.061177686,0.051488355,3.3791246,3.504877
3346,2012-03-26 22:12:00,D,0.0016350013,0.0,False,,0.0,,,,,,,,,,,52.53302804374632,37.46697195625368,0.0,False,0.0,-0.80158424,0.08077854,0.037105687,0.0333964,3.725916,3.5590842
7376,2012-03-26 23:48:00,D,0.00067854824,0.0,False,,0.0,,,,,,,,,,,51.08672182661778,38.91327817338222,0.0,False,0.0,-0.8706066,0.046294034,0.019957036,0.019884557,4.9833713,5.0117936
11168,2012-03-27 12:00:00,N,0.052971236,0.0,False,,0.0,,,,,,,,,,,123.05129563897546,-33.05129563897545,0.0,False,0.0,-0.9738433,0.003230393,0.0024990141,0.0025057495,2.376391,2.395486
7705,2012-03-27 13:42:00,N,0.0080672465,0.0,False,,0.0,,,,,,,,,,,116.1737766731091,-26.173776673109103,0.0,False,0.0,-0.97274756,0.0019549727,0.002577193,0.0019814447,3.740768,3.1587777
18331,2012-03-27 23:30:00,D,0.0039829323,0.0,False,,0.0,,,,,,,,,,,50.38950294633205,39.61049705366795,0.0,False,0.0,-0.8858036,0.04746592,0.027309008,0.026363917,3.8850956,4.1715293
5401,2012-03-28 01:12:00,D,0.0012328608,0.0,False,,0.0,,,,,,,,,,,55.50217616274798,34.49782383725202,0.0,False,0.0,-0.824246,0.060885847,0.034872815,0.029752739,3.4412155,3.4284685
18151,2012-03-28 13:24:00,N,0.14767165,0.0,False,,0.0,,,,,,,,,,,117.4587862654405,-27.458786265440498,0.0,False,0.0,-0.9710732,0.0047731996,0.0066941157,0.0027251542,4.5131764,2.9327848
6183,2012-03-28 15:06:00,N,0.0028574883,0.0,False,,0.0,,,,,,,,,,,106.08012653275884,-16.080126532758843,0.0,False,0.0,-0.96909255,0.0030243993,0.0070823655,0.004002951,4.8374333,3.6194701
9926,2012-03-28 23:12:00,D,0.0003381982,0.0,False,,0.0,,,,,,,,,,,49.954126198067925,40.045873801932075,0.0,False,0.0,-0.82227683,0.050403833,0.045272425,0.037326574,4.9157085,4.894486
7418,2012-03-29 00:54:00,D,0.003438802,0.0,False,,0.0,,,,,,,,,,,53.705498316670706,36.294501683329294,0.0,False,0.0,-0.82739896,0.07689792,0.02552969,0.01803042,3.2565713,3.277242
258,2012-03-29 13:06:00,N,0.09264965,0.0,False,,0.0,,,,,,,,,,,118.56000229739603,-28.56000229739602,0.0,False,0.0,-0.9703031,0.005222857,0.0029794425,0.0027745813,3.108108,3.296015
2224,2012-03-29 14:42:00,N,0.0025689693,0.0,False,,0.0,,,,,,,,,,,108.74492312989203,-18.744923129892026,0.0,False,0.0,-0.9747098,0.0033881664,0.004037991,0.0040832907,3.438688,3.5698698
7894,2012-03-29 22:54:00,D,0.00040013407,0.0,False,,0.0,,,,,,,,,,,49.78569031804083,40.21430968195917,0.0,False,0.0,-0.7666982,0.061998546,0.019518018,0.018184446,2.8654094,4.189592
6491,2012-03-30 00:36:00,D,0.004066649,0.0,False,,0.0,,,,,,,,,,,52.105693843229886,37.894306156770114,0.0,False,0.0,-0.79684246,0.052979052,0.04306092,0.033183128,5.118516,4.449477
6322,2012-03-30 12:48:00,N,0.02391114,0.0,False,,0.0,,,,,,,,,,,119.46346556985947,-29.46346556985946,0.0,False,0.0,-0.9765108,0.006519556,0.0053263307,0.0049019456,5.0816107,5.1723704
10117,2012-03-30 14:24:00,N,0.015032216,0.0,False,,0.0,,,,,,,,,,,110.51658370058684,-20.516583700586832,0.0,False,0.0,-0.9760378,0.0031382442,0.0033651292,0.0032385066,3.0234606,2.961284
8260,2012-03-30 22:36:00,D,0.0012966545,0.0,False,,0.0,,,,,,,,,,,49.884659759114314,40.115340240885686,0.0,False,0.0,-0.82548386,0.05268997,0.036139533,0.034094855,3.2224576,3.3697867
831,2012-03-31 00:18:00,D,0.001878639,0.0,False,,0.0,,,,,,,,,,,50.72187702681779,39.27812297318221,0.0,False,0.0,-0.8466912,0.04832834,0.051925696,0.032316662,5.0783277,4.1003895
15925,2012-03-31 12:24:00,N,0.00014050394,0.0,False,,0.0,,,,,,,,,,,120.47028326484353,-30.470283264843527,0.0,False,0.0,-0.97197914,0.0028386712,0.0028793067,0.0026304573,2.7911484,3.8318055
8450,2012-03-31 14:06:00,N,0.010628745,0.0,False,,0.0,,,,,,,,,,,112.15686899769102,-22.156868997691028,0.0,False,0.0,-0.9741379,0.0024396777,0.0032769889,0.002112195,3.3307023,2.840705
15125,2012-04-01 12:06:00,N,3.2715172e-05,0.0,False,,0.0,,,,,,,,,,,120.86695333108119,-30.866953331081188,0.0,False,0.0,-0.97418416,0.0031500459,0.0033256412,0.0033219159,2.9392183,3.0155637
12443,2012-04-01 13:48:00,N,0.00016238366,0.0,False,,0.0,,,,,,,,,,,113.65075089748329,-23.65075089748329,0.0,False,0.0,-0.9712034,0.0021557808,0.0023603588,0.0021246448,2.744622,3.1021812
13052,2012-04-01 23:36:00,D,0.008141264,0.0,False,,0.0,,,,,,,,,,,48.55663192784288,41.44336807215712,0.0,False,0.0,-0.72752243,0.14222854,0.0736159,0.071555965,3.5149183,3.7294528
954,2012-04-02 01:18:00,D,0.0013328216,0.0,False,,0.0,,,,,,,,,,,54.363870496051995,35.636129503948005,0.0,False,0.0,-0.81719863,0.062440038,0.047460243,0.04936759,4.7753053,5.0664396
